fecha,sku,unidades
2026-04-18,PX-P002,1
2026-04-19,PX-P002,6
2026-04-20,PX-P002,2
2026-04-21,PX-P002,6
2026-04-22,PX-P002,2
2026-04-23,PX-P002,1
2026-04-25,PX-P002,2
2026-04-26,PX-P002,4
2026-04-27,PX-P002,3
2026-04-28,PX-P002,1
2026-04-29,PX-P002,1
2026-04-30,PX-P002,1
2026-05-01,PX-P002,2
2026-05-02,PX-P002,1
2026-05-04,PX-P002,2
2026-05-05,PX-P002,1
2026-05-06,PX-P002,2
2026-05-07,PX-P002,1
2026-05-08,PX-P002,1
2026-05-09,PX-P002,3
2026-05-10,PX-P002,1
2026-05-11,PX-P002,2
2026-05-12,PX-P002,3
2026-05-13,PX-P002,3
2026-05-14,PX-P002,3
2026-05-15,PX-P002,3
2026-05-18,PX-P002,2
2026-05-19,PX-P002,3
2026-05-21,PX-P002,2
2026-05-22,PX-P002,2
2026-05-23,PX-P002,3
2026-05-24,PX-P002,1
2026-05-25,PX-P002,4
2026-05-26,PX-P002,3
2026-05-27,PX-P002,2
2026-05-28,PX-P002,4
2026-05-29,PX-P002,1
2026-05-30,PX-P002,1
2026-05-31,PX-P002,1
2026-06-02,PX-P002,3
2026-06-03,PX-P002,3
2026-06-04,PX-P002,1
2026-06-05,PX-P002,2
2026-06-06,PX-P002,1
2026-06-07,PX-P002,2
2026-06-08,PX-P002,2
2026-06-09,PX-P002,1
2026-06-10,PX-P002,1
2026-06-11,PX-P002,3
2026-06-12,PX-P002,2
2026-06-13,PX-P002,3
2026-06-14,PX-P002,2
2026-06-15,PX-P002,4
2026-06-16,PX-P002,2
2026-06-18,PX-P002,5
2026-06-19,PX-P002,2
2026-06-21,PX-P002,2
2026-06-22,PX-P002,3
2026-06-23,PX-P002,1
2026-06-24,PX-P002,2
2026-06-25,PX-P002,4
2026-06-26,PX-P002,2
2026-06-27,PX-P002,1
2026-06-28,PX-P002,2
2026-06-29,PX-P002,2
2026-06-30,PX-P002,1
2026-07-01,PX-P002,3
2026-07-02,PX-P002,3
2026-07-03,PX-P002,5
2026-04-05,PX-P003,2
2026-04-06,PX-P003,3
2026-04-07,PX-P003,1
2026-04-08,PX-P003,3
2026-04-09,PX-P003,7
2026-04-10,PX-P003,3
2026-04-11,PX-P003,4
2026-04-12,PX-P003,3
2026-04-13,PX-P003,8
2026-04-14,PX-P003,2
2026-04-15,PX-P003,2
2026-04-16,PX-P003,7
2026-04-17,PX-P003,3
2026-04-18,PX-P003,4
2026-04-19,PX-P003,4
2026-04-20,PX-P003,8
2026-04-21,PX-P003,5
2026-04-22,PX-P003,1
2026-04-23,PX-P003,5
2026-04-24,PX-P003,4
2026-04-25,PX-P003,3
2026-04-27,PX-P003,3
2026-04-28,PX-P003,3
2026-04-29,PX-P003,5
2026-04-30,PX-P003,3
2026-05-01,PX-P003,3
2026-05-02,PX-P003,4
2026-05-03,PX-P003,5
2026-05-04,PX-P003,4
2026-05-05,PX-P003,2
2026-05-06,PX-P003,2
2026-05-07,PX-P003,4
2026-05-08,PX-P003,3
2026-05-09,PX-P003,6
2026-05-10,PX-P003,5
2026-05-11,PX-P003,4
2026-05-12,PX-P003,3
2026-05-13,PX-P003,4
2026-05-14,PX-P003,3
2026-05-15,PX-P003,2
2026-05-16,PX-P003,3
2026-05-17,PX-P003,4
2026-05-18,PX-P003,5
2026-05-19,PX-P003,5
2026-05-20,PX-P003,6
2026-05-21,PX-P003,1
2026-05-22,PX-P003,6
2026-05-23,PX-P003,2
2026-05-24,PX-P003,2
2026-05-25,PX-P003,5
2026-05-26,PX-P003,2
2026-05-27,PX-P003,5
2026-05-28,PX-P003,1
2026-05-29,PX-P003,3
2026-05-30,PX-P003,2
2026-05-31,PX-P003,3
2026-06-01,PX-P003,4
2026-06-02,PX-P003,5
2026-06-03,PX-P003,1
2026-06-04,PX-P003,4
2026-06-05,PX-P003,5
2026-06-06,PX-P003,3
2026-06-07,PX-P003,2
2026-06-08,PX-P003,4
2026-06-09,PX-P003,3
2026-06-10,PX-P003,2
2026-06-11,PX-P003,5
2026-06-12,PX-P003,2
2026-06-13,PX-P003,2
2026-06-14,PX-P003,4
2026-06-15,PX-P003,3
2026-06-16,PX-P003,7
2026-06-17,PX-P003,2
2026-06-18,PX-P003,5
2026-06-19,PX-P003,6
2026-06-20,PX-P003,6
2026-06-21,PX-P003,1
2026-06-22,PX-P003,1
2026-06-23,PX-P003,1
2026-06-24,PX-P003,2
2026-06-25,PX-P003,2
2026-06-26,PX-P003,3
2026-06-27,PX-P003,2
2026-06-28,PX-P003,6
2026-06-29,PX-P003,2
2026-06-30,PX-P003,2
2026-07-01,PX-P003,2
2026-07-02,PX-P003,4
2026-07-03,PX-P003,3
2026-04-05,PX-P004,1
2026-04-06,PX-P004,5
2026-04-07,PX-P004,6
2026-04-09,PX-P004,2
2026-04-10,PX-P004,1
2026-04-11,PX-P004,2
2026-04-12,PX-P004,3
2026-04-13,PX-P004,1
2026-04-14,PX-P004,4
2026-04-15,PX-P004,5
2026-04-16,PX-P004,1
2026-04-17,PX-P004,3
2026-04-18,PX-P004,2
2026-04-19,PX-P004,6
2026-04-20,PX-P004,4
2026-04-21,PX-P004,4
2026-04-22,PX-P004,4
2026-04-23,PX-P004,6
2026-04-24,PX-P004,3
2026-04-25,PX-P004,3
2026-04-26,PX-P004,4
2026-04-27,PX-P004,1
2026-04-28,PX-P004,1
2026-04-29,PX-P004,4
2026-04-30,PX-P004,3
2026-05-01,PX-P004,5
2026-05-02,PX-P004,3
2026-05-04,PX-P004,4
2026-05-05,PX-P004,1
2026-05-06,PX-P004,2
2026-05-07,PX-P004,4
2026-05-09,PX-P004,3
2026-05-10,PX-P004,1
2026-05-11,PX-P004,1
2026-05-12,PX-P004,1
2026-05-13,PX-P004,2
2026-05-14,PX-P004,2
2026-05-15,PX-P004,3
2026-05-16,PX-P004,4
2026-05-17,PX-P004,5
2026-05-18,PX-P004,4
2026-05-19,PX-P004,4
2026-05-20,PX-P004,3
2026-05-21,PX-P004,3
2026-05-22,PX-P004,1
2026-05-23,PX-P004,2
2026-05-24,PX-P004,1
2026-05-25,PX-P004,2
2026-05-26,PX-P004,2
2026-05-27,PX-P004,3
2026-05-28,PX-P004,3
2026-05-30,PX-P004,2
2026-05-31,PX-P004,2
2026-06-01,PX-P004,2
2026-06-02,PX-P004,4
2026-06-03,PX-P004,1
2026-06-04,PX-P004,5
2026-06-05,PX-P004,2
2026-06-06,PX-P004,4
2026-06-07,PX-P004,3
2026-06-08,PX-P004,2
2026-06-09,PX-P004,1
2026-06-10,PX-P004,3
2026-06-11,PX-P004,6
2026-06-12,PX-P004,1
2026-06-13,PX-P004,1
2026-06-14,PX-P004,1
2026-06-15,PX-P004,3
2026-06-16,PX-P004,2
2026-06-17,PX-P004,4
2026-06-18,PX-P004,7
2026-06-19,PX-P004,5
2026-06-20,PX-P004,3
2026-06-21,PX-P004,2
2026-06-22,PX-P004,1
2026-06-23,PX-P004,5
2026-06-24,PX-P004,2
2026-06-25,PX-P004,1
2026-06-26,PX-P004,7
2026-06-27,PX-P004,2
2026-06-28,PX-P004,2
2026-06-29,PX-P004,5
2026-06-30,PX-P004,5
2026-07-01,PX-P004,6
2026-07-02,PX-P004,3
2026-07-03,PX-P004,1
2026-04-05,PX-P005,1
2026-04-06,PX-P005,2
2026-04-07,PX-P005,3
2026-04-08,PX-P005,1
2026-04-09,PX-P005,1
2026-04-10,PX-P005,2
2026-04-12,PX-P005,1
2026-04-13,PX-P005,2
2026-04-14,PX-P005,3
2026-04-15,PX-P005,2
2026-04-16,PX-P005,1
2026-04-17,PX-P005,1
2026-04-18,PX-P005,4
2026-04-21,PX-P005,1
2026-04-23,PX-P005,2
2026-04-24,PX-P005,2
2026-04-26,PX-P005,1
2026-04-27,PX-P005,2
2026-04-28,PX-P005,3
2026-04-30,PX-P005,1
2026-05-01,PX-P005,2
2026-05-02,PX-P005,1
2026-05-03,PX-P005,2
2026-05-04,PX-P005,2
2026-05-05,PX-P005,1
2026-05-06,PX-P005,5
2026-05-07,PX-P005,2
2026-05-08,PX-P005,2
2026-05-09,PX-P005,3
2026-05-10,PX-P005,1
2026-05-11,PX-P005,1
2026-05-12,PX-P005,2
2026-05-13,PX-P005,2
2026-05-15,PX-P005,1
2026-05-16,PX-P005,2
2026-05-17,PX-P005,3
2026-05-18,PX-P005,1
2026-05-19,PX-P005,2
2026-05-23,PX-P005,4
2026-05-24,PX-P005,1
2026-05-25,PX-P005,1
2026-05-26,PX-P005,1
2026-05-27,PX-P005,1
2026-05-28,PX-P005,1
2026-05-29,PX-P005,3
2026-05-30,PX-P005,1
2026-05-31,PX-P005,1
2026-06-01,PX-P005,2
2026-06-02,PX-P005,4
2026-06-03,PX-P005,3
2026-06-04,PX-P005,2
2026-06-06,PX-P005,1
2026-06-08,PX-P005,2
2026-06-09,PX-P005,2
2026-06-10,PX-P005,2
2026-06-12,PX-P005,1
2026-06-13,PX-P005,1
2026-06-14,PX-P005,2
2026-06-15,PX-P005,4
2026-06-16,PX-P005,1
2026-06-17,PX-P005,2
2026-06-18,PX-P005,2
2026-06-20,PX-P005,2
2026-06-24,PX-P005,1
2026-06-25,PX-P005,1
2026-06-26,PX-P005,1
2026-06-27,PX-P005,2
2026-06-28,PX-P005,2
2026-06-29,PX-P005,2
2026-06-30,PX-P005,3
2026-07-02,PX-P005,2
2026-07-03,PX-P005,1
2026-04-05,PX-A001,1
2026-04-23,PX-A001,1
2026-04-24,PX-A001,1
2026-05-04,PX-A001,1
2026-05-21,PX-A001,1
2026-05-24,PX-A001,1
2026-05-25,PX-A001,1
2026-05-29,PX-A001,1
2026-06-04,PX-A001,1
2026-06-07,PX-A001,1
2026-06-23,PX-A001,1
2026-06-25,PX-A001,1
2026-06-26,PX-A001,1
2026-06-28,PX-A001,1
2026-07-02,PX-A001,1
2026-04-08,PX-A002,1
2026-04-11,PX-A002,1
2026-04-15,PX-A002,1
2026-04-16,PX-A002,1
2026-04-19,PX-A002,1
2026-04-22,PX-A002,1
2026-04-24,PX-A002,1
2026-04-26,PX-A002,2
2026-05-07,PX-A002,1
2026-05-09,PX-A002,1
2026-05-12,PX-A002,1
2026-05-16,PX-A002,1
2026-05-17,PX-A002,1
2026-05-18,PX-A002,1
2026-05-21,PX-A002,2
2026-05-31,PX-A002,1
2026-06-04,PX-A002,1
2026-06-09,PX-A002,1
2026-04-05,PX-A003,1
2026-04-06,PX-A003,1
2026-04-10,PX-A003,2
2026-04-12,PX-A003,2
2026-04-15,PX-A003,1
2026-04-16,PX-A003,1
2026-04-17,PX-A003,1
2026-04-20,PX-A003,1
2026-04-26,PX-A003,2
2026-04-27,PX-A003,1
2026-04-28,PX-A003,2
2026-04-30,PX-A003,3
2026-05-05,PX-A003,1
2026-05-06,PX-A003,1
2026-05-08,PX-A003,2
2026-05-09,PX-A003,1
2026-05-10,PX-A003,3
2026-05-14,PX-A003,2
2026-05-16,PX-A003,1
2026-05-17,PX-A003,1
2026-05-18,PX-A003,2
2026-05-19,PX-A003,1
2026-05-20,PX-A003,1
2026-05-22,PX-A003,3
2026-05-23,PX-A003,2
2026-05-26,PX-A003,1
2026-05-28,PX-A003,2
2026-06-02,PX-A003,4
2026-06-04,PX-A003,1
2026-06-05,PX-A003,2
2026-06-06,PX-A003,1
2026-06-07,PX-A003,1
2026-06-08,PX-A003,5
2026-06-09,PX-A003,1
2026-06-11,PX-A003,1
2026-06-12,PX-A003,2
2026-06-15,PX-A003,2
2026-06-19,PX-A003,1
2026-06-20,PX-A003,1
2026-06-22,PX-A003,1
2026-06-23,PX-A003,1
2026-06-24,PX-A003,1
2026-06-28,PX-A003,4
2026-06-30,PX-A003,2
2026-07-01,PX-A003,1
2026-07-02,PX-A003,1
2026-05-01,PX-A004,1
2026-05-10,PX-A004,1
2026-05-22,PX-A004,1
2026-06-05,PX-A004,1
2026-06-13,PX-A004,1
2026-04-05,PX-A005,1
2026-04-06,PX-A005,1
2026-04-11,PX-A005,4
2026-04-12,PX-A005,1
2026-04-13,PX-A005,2
2026-04-14,PX-A005,2
2026-04-15,PX-A005,1
2026-04-16,PX-A005,1
2026-04-17,PX-A005,1
2026-04-19,PX-A005,1
2026-04-22,PX-A005,2
2026-04-24,PX-A005,1
2026-04-25,PX-A005,1
2026-04-27,PX-A005,2
2026-04-29,PX-A005,1
2026-04-30,PX-A005,1
2026-05-03,PX-A005,1
2026-05-04,PX-A005,1
2026-05-06,PX-A005,1
2026-05-07,PX-A005,2
2026-05-12,PX-A005,2
2026-05-13,PX-A005,1
2026-05-14,PX-A005,2
2026-05-18,PX-A005,2
2026-05-19,PX-A005,1
2026-05-21,PX-A005,1
2026-05-22,PX-A005,1
2026-05-23,PX-A005,3
2026-05-24,PX-A005,1
2026-05-26,PX-A005,1
2026-05-27,PX-A005,1
2026-05-29,PX-A005,1
2026-05-30,PX-A005,4
2026-05-31,PX-A005,1
2026-06-02,PX-A005,3
2026-06-03,PX-A005,1
2026-06-07,PX-A005,1
2026-06-08,PX-A005,1
2026-06-10,PX-A005,2
2026-06-11,PX-A005,1
2026-06-13,PX-A005,3
2026-06-14,PX-A005,1
2026-06-16,PX-A005,2
2026-06-17,PX-A005,2
2026-06-19,PX-A005,1
2026-06-22,PX-A005,3
2026-06-23,PX-A005,1
2026-06-25,PX-A005,3
2026-06-30,PX-A005,1
2026-07-02,PX-A005,3
2026-04-05,PX-H001,3
2026-04-06,PX-H001,7
2026-04-07,PX-H001,3
2026-04-08,PX-H001,8
2026-04-09,PX-H001,6
2026-04-10,PX-H001,5
2026-04-11,PX-H001,4
2026-04-12,PX-H001,7
2026-04-13,PX-H001,9
2026-04-14,PX-H001,3
2026-04-16,PX-H001,4
2026-04-17,PX-H001,4
2026-04-18,PX-H001,4
2026-04-19,PX-H001,5
2026-04-20,PX-H001,6
2026-04-21,PX-H001,2
2026-04-22,PX-H001,4
2026-04-23,PX-H001,6
2026-04-24,PX-H001,3
2026-04-25,PX-H001,6
2026-04-26,PX-H001,4
2026-04-27,PX-H001,4
2026-04-28,PX-H001,3
2026-04-29,PX-H001,6
2026-04-30,PX-H001,6
2026-05-01,PX-H001,7
2026-05-02,PX-H001,7
2026-05-03,PX-H001,4
2026-05-04,PX-H001,3
2026-05-05,PX-H001,8
2026-05-06,PX-H001,5
2026-05-07,PX-H001,4
2026-05-08,PX-H001,6
2026-05-09,PX-H001,4
2026-05-10,PX-H001,2
2026-05-11,PX-H001,5
2026-05-12,PX-H001,8
2026-05-13,PX-H001,5
2026-05-14,PX-H001,10
2026-05-15,PX-H001,3
2026-05-16,PX-H001,6
2026-05-17,PX-H001,4
2026-05-18,PX-H001,5
2026-05-19,PX-H001,8
2026-05-20,PX-H001,3
2026-05-21,PX-H001,5
2026-05-22,PX-H001,7
2026-05-23,PX-H001,5
2026-05-24,PX-H001,8
2026-05-25,PX-H001,6
2026-05-26,PX-H001,7
2026-05-27,PX-H001,10
2026-05-28,PX-H001,8
2026-05-29,PX-H001,3
2026-05-30,PX-H001,4
2026-05-31,PX-H001,8
2026-06-01,PX-H001,2
2026-06-02,PX-H001,5
2026-06-03,PX-H001,5
2026-06-04,PX-H001,9
2026-06-05,PX-H001,5
2026-06-06,PX-H001,6
2026-06-07,PX-H001,11
2026-06-08,PX-H001,6
2026-06-09,PX-H001,6
2026-06-10,PX-H001,7
2026-06-11,PX-H001,3
2026-06-12,PX-H001,5
2026-06-13,PX-H001,7
2026-06-14,PX-H001,2
2026-06-15,PX-H001,8
2026-06-16,PX-H001,3
2026-06-17,PX-H001,7
2026-06-18,PX-H001,4
2026-06-19,PX-H001,4
2026-06-20,PX-H001,4
2026-06-21,PX-H001,7
2026-06-22,PX-H001,12
2026-06-23,PX-H001,9
2026-06-24,PX-H001,2
2026-06-25,PX-H001,1
2026-06-26,PX-H001,4
2026-06-27,PX-H001,5
2026-06-28,PX-H001,3
2026-06-29,PX-H001,6
2026-06-30,PX-H001,8
2026-07-01,PX-H001,5
2026-07-02,PX-H001,5
2026-07-03,PX-H001,4
2026-04-11,PX-H002,1
2026-04-18,PX-H002,1
2026-04-21,PX-H002,1
2026-04-23,PX-H002,1
2026-04-26,PX-H002,1
2026-05-21,PX-H002,1
2026-05-25,PX-H002,1
2026-05-27,PX-H002,1
2026-05-28,PX-H002,1
2026-05-31,PX-H002,1
2026-06-05,PX-H002,1
2026-06-08,PX-H002,1
2026-06-13,PX-H002,1
2026-06-27,PX-H002,1
2026-04-05,PX-S001,3
2026-04-06,PX-S001,2
2026-04-07,PX-S001,4
2026-04-08,PX-S001,3
2026-04-09,PX-S001,1
2026-04-10,PX-S001,1
2026-04-11,PX-S001,5
2026-04-12,PX-S001,4
2026-04-14,PX-S001,3
2026-04-15,PX-S001,1
2026-04-16,PX-S001,4
2026-04-17,PX-S001,1
2026-04-18,PX-S001,3
2026-04-19,PX-S001,7
2026-04-20,PX-S001,3
2026-04-21,PX-S001,1
2026-04-22,PX-S001,4
2026-04-23,PX-S001,5
2026-04-24,PX-S001,2
2026-04-25,PX-S001,3
2026-04-26,PX-S001,3
2026-04-27,PX-S001,5
2026-04-28,PX-S001,4
2026-04-29,PX-S001,2
2026-04-30,PX-S001,2
2026-05-01,PX-S001,3
2026-05-02,PX-S001,3
2026-05-03,PX-S001,1
2026-05-04,PX-S001,2
2026-05-05,PX-S001,2
2026-05-06,PX-S001,3
2026-05-07,PX-S001,2
2026-05-08,PX-S001,2
2026-05-09,PX-S001,2
2026-05-10,PX-S001,1
2026-05-11,PX-S001,5
2026-05-12,PX-S001,4
2026-05-13,PX-S001,3
2026-05-14,PX-S001,3
2026-05-15,PX-S001,2
2026-05-16,PX-S001,1
2026-05-17,PX-S001,3
2026-05-18,PX-S001,2
2026-05-19,PX-S001,5
2026-05-20,PX-S001,3
2026-05-21,PX-S001,2
2026-05-22,PX-S001,2
2026-05-24,PX-S001,3
2026-05-25,PX-S001,2
2026-05-26,PX-S001,2
2026-05-27,PX-S001,7
2026-05-28,PX-S001,5
2026-05-29,PX-S001,7
2026-05-30,PX-S001,2
2026-05-31,PX-S001,8
2026-06-01,PX-S001,4
2026-06-02,PX-S001,2
2026-06-03,PX-S001,4
2026-06-04,PX-S001,1
2026-06-05,PX-S001,4
2026-06-06,PX-S001,3
2026-06-07,PX-S001,3
2026-06-08,PX-S001,3
2026-06-09,PX-S001,1
2026-06-10,PX-S001,3
2026-06-11,PX-S001,1
2026-06-12,PX-S001,1
2026-06-13,PX-S001,4
2026-06-14,PX-S001,2
2026-06-15,PX-S001,4
2026-06-16,PX-S001,1
2026-06-17,PX-S001,2
2026-06-18,PX-S001,2
2026-06-19,PX-S001,3
2026-06-20,PX-S001,4
2026-06-22,PX-S001,2
2026-06-23,PX-S001,1
2026-06-24,PX-S001,3
2026-06-25,PX-S001,1
2026-06-26,PX-S001,2
2026-06-27,PX-S001,1
2026-06-28,PX-S001,3
2026-06-29,PX-S001,4
2026-06-30,PX-S001,3
2026-07-01,PX-S001,4
2026-07-02,PX-S001,2
2026-07-03,PX-S001,2
2026-04-05,PX-S002,3
2026-04-06,PX-S002,3
2026-04-07,PX-S002,2
2026-04-08,PX-S002,1
2026-04-10,PX-S002,2
2026-04-11,PX-S002,2
2026-04-12,PX-S002,2
2026-04-13,PX-S002,3
2026-04-14,PX-S002,2
2026-04-15,PX-S002,3
2026-04-16,PX-S002,2
2026-04-17,PX-S002,1
2026-04-18,PX-S002,2
2026-04-19,PX-S002,2
2026-04-20,PX-S002,2
2026-04-21,PX-S002,2
2026-04-22,PX-S002,2
2026-04-23,PX-S002,2
2026-04-24,PX-S002,1
2026-04-25,PX-S002,2
2026-04-26,PX-S002,1
2026-04-27,PX-S002,5
2026-04-28,PX-S002,1
2026-04-29,PX-S002,1
2026-04-30,PX-S002,2
2026-05-01,PX-S002,3
2026-05-02,PX-S002,2
2026-05-03,PX-S002,1
2026-05-04,PX-S002,2
2026-05-05,PX-S002,2
2026-05-06,PX-S002,1
2026-05-07,PX-S002,4
2026-05-08,PX-S002,2
2026-05-09,PX-S002,3
2026-05-12,PX-S002,3
2026-05-13,PX-S002,1
2026-05-14,PX-S002,2
2026-05-15,PX-S002,2
2026-05-16,PX-S002,1
2026-05-17,PX-S002,3
2026-05-18,PX-S002,2
2026-05-19,PX-S002,1
2026-05-20,PX-S002,2
2026-05-22,PX-S002,2
2026-05-23,PX-S002,1
2026-05-25,PX-S002,1
2026-05-26,PX-S002,2
2026-05-27,PX-S002,1
2026-05-28,PX-S002,1
2026-05-29,PX-S002,2
2026-05-30,PX-S002,2
2026-06-01,PX-S002,4
2026-06-03,PX-S002,2
2026-06-04,PX-S002,3
2026-06-05,PX-S002,2
2026-06-06,PX-S002,2
2026-06-07,PX-S002,2
2026-06-08,PX-S002,4
2026-06-10,PX-S002,2
2026-06-12,PX-S002,1
2026-06-13,PX-S002,1
2026-06-14,PX-S002,3
2026-06-16,PX-S002,1
2026-06-17,PX-S002,2
2026-06-18,PX-S002,5
2026-06-19,PX-S002,5
2026-06-20,PX-S002,3
2026-06-22,PX-S002,3
2026-06-23,PX-S002,2
2026-06-24,PX-S002,4
2026-06-25,PX-S002,2
2026-06-26,PX-S002,2
2026-06-27,PX-S002,2
2026-06-29,PX-S002,2
2026-06-30,PX-S002,2
2026-07-02,PX-S002,2
2026-07-03,PX-S002,3
